model_key,metric_name,estimate,ci_low,ci_high
qwen2vl7b,RPE(C0_neutral),0.0,0.0,0.0
qwen2vl7b,RPE(C1_weak_suggestion),0.0,0.0,0.0
qwen2vl7b,RPE(C2_false_assertion_open),0.0,0.0,0.0
qwen2vl7b,RPE(C3_presupposition_correction_allowed),0.0,0.0,0.0
qwen2vl7b,RPE(C4_stronger_open_conflict),0.0,0.0,0.0
qwen2vl7b,LDI,0.0,0.0,0.0
llava15_7b,RPE(C0_neutral),0.0,0.0,0.0
llava15_7b,RPE(C1_weak_suggestion),0.010752688172043012,0.0,0.03225806451612903
llava15_7b,RPE(C2_false_assertion_open),0.010752688172043012,0.0,0.03225806451612903
llava15_7b,RPE(C3_presupposition_correction_allowed),0.13978494623655913,0.07526881720430108,0.21505376344086022
llava15_7b,RPE(C4_stronger_open_conflict),0.03225806451612903,0.0,0.07526881720430108
llava15_7b,LDI,0.05555555555555556,0.02867383512544803,0.0913978494623656
internvl2_8b,RPE(C0_neutral),0.0,0.0,0.0
internvl2_8b,RPE(C1_weak_suggestion),0.0,0.0,0.0
internvl2_8b,RPE(C2_false_assertion_open),0.0,0.0,0.0
internvl2_8b,RPE(C3_presupposition_correction_allowed),0.0,0.0,0.0
internvl2_8b,RPE(C4_stronger_open_conflict),0.0,0.0,0.0
internvl2_8b,LDI,0.0,0.0,0.0
