condition_name,left_model,right_model,estimate_left_minus_right,ci_low,ci_high
C0_neutral,qwen2vl7b,llava15_7b,0.0,0.0,0.0
C0_neutral,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C0_neutral,llava15_7b,internvl2_8b,0.0,0.0,0.0
C1_weak_suggestion,qwen2vl7b,llava15_7b,-0.010752688172043012,-0.03225806451612903,0.0
C1_weak_suggestion,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C1_weak_suggestion,llava15_7b,internvl2_8b,0.010752688172043012,0.0,0.03225806451612903
C2_false_assertion_open,qwen2vl7b,llava15_7b,-0.010752688172043012,-0.03225806451612903,0.0
C2_false_assertion_open,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C2_false_assertion_open,llava15_7b,internvl2_8b,0.010752688172043012,0.0,0.03225806451612903
C3_presupposition_correction_allowed,qwen2vl7b,llava15_7b,-0.13978494623655913,-0.21505376344086022,-0.07526881720430108
C3_presupposition_correction_allowed,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C3_presupposition_correction_allowed,llava15_7b,internvl2_8b,0.13978494623655913,0.07526881720430108,0.21505376344086022
C4_stronger_open_conflict,qwen2vl7b,llava15_7b,-0.03225806451612903,-0.07526881720430108,0.0
C4_stronger_open_conflict,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C4_stronger_open_conflict,llava15_7b,internvl2_8b,0.03225806451612903,0.0,0.07526881720430108
