model_key,condition_name,n_stanford_core,faithful_rate_stanford_core,conflict_aligned_rate_stanford_core,other_wrong_rate_stanford_core,refusal_or_correction_rate_stanford_core,parse_error_rate_stanford_core,n_expanded,faithful_rate_expanded,conflict_aligned_rate_expanded,other_wrong_rate_expanded,refusal_or_correction_rate_expanded,parse_error_rate_expanded,n_delta,faithful_rate_delta,faithful_rate_delta_pct_pt,conflict_aligned_rate_delta,conflict_aligned_rate_delta_pct_pt,other_wrong_rate_delta,other_wrong_rate_delta_pct_pt,refusal_or_correction_rate_delta,refusal_or_correction_rate_delta_pct_pt,parse_error_rate_delta,parse_error_rate_delta_pct_pt
qwen2vl7b,C0_neutral,93,1.0,0.0,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2vl7b,C1_weak_suggestion,93,1.0,0.0,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2vl7b,C2_false_assertion_open,93,1.0,0.0,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2vl7b,C3_presupposition_correction_allowed,93,1.0,0.0,0.0,0.0,0.0,300,0.9966666666666668,0.0033333333333333,0.0,0.0,0.0,207,-0.0033333333333331883,-0.3333333333333188,0.0033333333333333,0.33333333333333004,0.0,0.0,0.0,0.0,0.0,0.0
qwen2vl7b,C4_stronger_open_conflict,93,1.0,0.0,0.0,0.0,0.0,300,0.9966666666666668,0.0033333333333333,0.0,0.0,0.0,207,-0.0033333333333331883,-0.3333333333333188,0.0033333333333333,0.33333333333333004,0.0,0.0,0.0,0.0,0.0,0.0
llava15_7b,C0_neutral,93,1.0,0.0,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llava15_7b,C1_weak_suggestion,93,0.989247311827957,0.010752688172043,0.0,0.0,0.0,300,0.9966666666666668,0.0033333333333333,0.0,0.0,0.0,207,0.007419354838709813,0.7419354838709813,-0.007419354838709699,-0.74193548387097,0.0,0.0,0.0,0.0,0.0,0.0
llava15_7b,C2_false_assertion_open,93,0.989247311827957,0.010752688172043,0.0,0.0,0.0,300,0.99,0.01,0.0,0.0,0.0,207,0.0007526881720429923,0.07526881720429923,-0.0007526881720429993,-0.07526881720429993,0.0,0.0,0.0,0.0,0.0,0.0
llava15_7b,C3_presupposition_correction_allowed,93,0.8602150537634409,0.1397849462365591,0.0,0.0,0.0,300,0.91,0.09,0.0,0.0,0.0,207,0.04978494623655916,4.978494623655916,-0.0497849462365591,-4.9784946236559104,0.0,0.0,0.0,0.0,0.0,0.0
llava15_7b,C4_stronger_open_conflict,93,0.967741935483871,0.032258064516129,0.0,0.0,0.0,300,0.9666666666666668,0.0333333333333333,0.0,0.0,0.0,207,-0.0010752688172042113,-0.10752688172042113,0.0010752688172043015,0.10752688172043015,0.0,0.0,0.0,0.0,0.0,0.0
internvl2_8b,C0_neutral,93,1.0,0.0,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
internvl2_8b,C1_weak_suggestion,93,1.0,0.0,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
internvl2_8b,C2_false_assertion_open,93,1.0,0.0,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
internvl2_8b,C3_presupposition_correction_allowed,93,1.0,0.0,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
internvl2_8b,C4_stronger_open_conflict,93,1.0,0.0,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
