image_id,file_name,image_path,width,height,contains_dog,num_annotations
285,000000000285.jpg,data/coco/val2017/000000000285.jpg,586,640,0,1
724,000000000724.jpg,data/coco/val2017/000000000724.jpg,375,500,0,4
776,000000000776.jpg,data/coco/val2017/000000000776.jpg,428,640,0,4
785,000000000785.jpg,data/coco/val2017/000000000785.jpg,640,425,0,2
802,000000000802.jpg,data/coco/val2017/000000000802.jpg,424,640,0,2
872,000000000872.jpg,data/coco/val2017/000000000872.jpg,621,640,0,4
885,000000000885.jpg,data/coco/val2017/000000000885.jpg,640,427,0,9
1268,000000001268.jpg,data/coco/val2017/000000001268.jpg,640,427,0,11
1296,000000001296.jpg,data/coco/val2017/000000001296.jpg,427,640,0,4
1353,000000001353.jpg,data/coco/val2017/000000001353.jpg,375,500,0,7
1425,000000001425.jpg,data/coco/val2017/000000001425.jpg,640,512,0,2
1490,000000001490.jpg,data/coco/val2017/000000001490.jpg,640,315,0,2
1532,000000001532.jpg,data/coco/val2017/000000001532.jpg,640,480,0,8
1584,000000001584.jpg,data/coco/val2017/000000001584.jpg,612,612,0,14
1675,000000001675.jpg,data/coco/val2017/000000001675.jpg,640,480,0,2
1761,000000001761.jpg,data/coco/val2017/000000001761.jpg,427,640,0,7
1818,000000001818.jpg,data/coco/val2017/000000001818.jpg,640,425,0,2
1993,000000001993.jpg,data/coco/val2017/000000001993.jpg,640,419,0,4
2006,000000002006.jpg,data/coco/val2017/000000002006.jpg,640,480,0,8
2149,000000002149.jpg,data/coco/val2017/000000002149.jpg,640,427,0,2
2153,000000002153.jpg,data/coco/val2017/000000002153.jpg,640,480,0,5
2261,000000002261.jpg,data/coco/val2017/000000002261.jpg,640,427,0,2
2431,000000002431.jpg,data/coco/val2017/000000002431.jpg,457,640,0,9
2473,000000002473.jpg,data/coco/val2017/000000002473.jpg,640,427,0,5
2532,000000002532.jpg,data/coco/val2017/000000002532.jpg,480,640,0,2
2587,000000002587.jpg,data/coco/val2017/000000002587.jpg,500,375,0,2
2592,000000002592.jpg,data/coco/val2017/000000002592.jpg,640,366,0,3
2923,000000002923.jpg,data/coco/val2017/000000002923.jpg,500,375,0,7
3156,000000003156.jpg,data/coco/val2017/000000003156.jpg,443,640,0,3
3255,000000003255.jpg,data/coco/val2017/000000003255.jpg,640,363,0,10
3501,000000003501.jpg,data/coco/val2017/000000003501.jpg,612,612,0,3
3553,000000003553.jpg,data/coco/val2017/000000003553.jpg,640,427,0,2
3661,000000003661.jpg,data/coco/val2017/000000003661.jpg,640,384,0,3
3845,000000003845.jpg,data/coco/val2017/000000003845.jpg,500,375,0,12
3934,000000003934.jpg,data/coco/val2017/000000003934.jpg,375,500,0,14
4395,000000004395.jpg,data/coco/val2017/000000004395.jpg,425,640,0,2
4495,000000004495.jpg,data/coco/val2017/000000004495.jpg,500,375,0,3
4765,000000004765.jpg,data/coco/val2017/000000004765.jpg,612,612,0,2
4795,000000004795.jpg,data/coco/val2017/000000004795.jpg,640,480,0,3
5037,000000005037.jpg,data/coco/val2017/000000005037.jpg,640,425,0,10
5060,000000005060.jpg,data/coco/val2017/000000005060.jpg,480,640,0,2
5193,000000005193.jpg,data/coco/val2017/000000005193.jpg,640,425,0,9
5477,000000005477.jpg,data/coco/val2017/000000005477.jpg,640,349,0,2
5503,000000005503.jpg,data/coco/val2017/000000005503.jpg,333,500,0,1
5529,000000005529.jpg,data/coco/val2017/000000005529.jpg,444,640,0,2
5600,000000005600.jpg,data/coco/val2017/000000005600.jpg,640,361,0,3
5992,000000005992.jpg,data/coco/val2017/000000005992.jpg,640,428,0,5
6012,000000006012.jpg,data/coco/val2017/000000006012.jpg,640,531,0,2
6040,000000006040.jpg,data/coco/val2017/000000006040.jpg,640,351,0,12
6213,000000006213.jpg,data/coco/val2017/000000006213.jpg,640,425,0,2
6460,000000006460.jpg,data/coco/val2017/000000006460.jpg,640,427,0,2
6614,000000006614.jpg,data/coco/val2017/000000006614.jpg,500,396,0,2
6723,000000006723.jpg,data/coco/val2017/000000006723.jpg,640,361,0,6
6763,000000006763.jpg,data/coco/val2017/000000006763.jpg,375,500,0,7
6771,000000006771.jpg,data/coco/val2017/000000006771.jpg,640,427,0,9
6818,000000006818.jpg,data/coco/val2017/000000006818.jpg,427,640,0,1
6894,000000006894.jpg,data/coco/val2017/000000006894.jpg,640,480,0,2
6954,000000006954.jpg,data/coco/val2017/000000006954.jpg,640,480,0,7
7088,000000007088.jpg,data/coco/val2017/000000007088.jpg,478,640,0,4
7108,000000007108.jpg,data/coco/val2017/000000007108.jpg,640,426,0,5
7278,000000007278.jpg,data/coco/val2017/000000007278.jpg,640,482,0,2
7281,000000007281.jpg,data/coco/val2017/000000007281.jpg,640,361,0,12
7574,000000007574.jpg,data/coco/val2017/000000007574.jpg,640,480,0,12
7784,000000007784.jpg,data/coco/val2017/000000007784.jpg,500,375,0,1
7795,000000007795.jpg,data/coco/val2017/000000007795.jpg,640,427,0,4
7816,000000007816.jpg,data/coco/val2017/000000007816.jpg,640,427,0,11
7818,000000007818.jpg,data/coco/val2017/000000007818.jpg,640,427,0,11
7888,000000007888.jpg,data/coco/val2017/000000007888.jpg,638,640,0,2
7977,000000007977.jpg,data/coco/val2017/000000007977.jpg,429,640,0,6
7991,000000007991.jpg,data/coco/val2017/000000007991.jpg,640,359,0,3
8021,000000008021.jpg,data/coco/val2017/000000008021.jpg,640,480,0,7
8211,000000008211.jpg,data/coco/val2017/000000008211.jpg,640,459,0,6
8277,000000008277.jpg,data/coco/val2017/000000008277.jpg,612,612,0,13
8532,000000008532.jpg,data/coco/val2017/000000008532.jpg,640,426,0,2
8629,000000008629.jpg,data/coco/val2017/000000008629.jpg,640,640,0,7
8690,000000008690.jpg,data/coco/val2017/000000008690.jpg,640,480,0,5
8762,000000008762.jpg,data/coco/val2017/000000008762.jpg,640,427,0,7
8844,000000008844.jpg,data/coco/val2017/000000008844.jpg,640,426,0,7
8899,000000008899.jpg,data/coco/val2017/000000008899.jpg,640,539,0,2
9378,000000009378.jpg,data/coco/val2017/000000009378.jpg,600,400,0,10
9448,000000009448.jpg,data/coco/val2017/000000009448.jpg,551,640,0,2
9483,000000009483.jpg,data/coco/val2017/000000009483.jpg,640,480,0,6
9769,000000009769.jpg,data/coco/val2017/000000009769.jpg,640,480,0,5
9772,000000009772.jpg,data/coco/val2017/000000009772.jpg,550,640,0,4
9891,000000009891.jpg,data/coco/val2017/000000009891.jpg,640,480,0,13
9914,000000009914.jpg,data/coco/val2017/000000009914.jpg,640,480,0,7
10092,000000010092.jpg,data/coco/val2017/000000010092.jpg,640,426,0,5
10363,000000010363.jpg,data/coco/val2017/000000010363.jpg,640,361,0,4
10583,000000010583.jpg,data/coco/val2017/000000010583.jpg,612,612,0,4
10707,000000010707.jpg,data/coco/val2017/000000010707.jpg,640,480,0,15
10764,000000010764.jpg,data/coco/val2017/000000010764.jpg,640,424,0,2
