model_key,model_name,condition_name,category,count,rate
qwen2vl7b,Qwen2-VL-7B-Instruct,A1_forced_choice_red_family,in_space_conflict_aligned,67,0.4785714285714286
qwen2vl7b,Qwen2-VL-7B-Instruct,A1_forced_choice_red_family,out_of_space_faithful,73,0.5214285714285715
qwen2vl7b,Qwen2-VL-7B-Instruct,A1_forced_choice_red_family,other_behavior,0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,A2_counterfactual_assumption,in_space_conflict_aligned,112,0.8
qwen2vl7b,Qwen2-VL-7B-Instruct,A2_counterfactual_assumption,out_of_space_faithful,28,0.2
qwen2vl7b,Qwen2-VL-7B-Instruct,A2_counterfactual_assumption,other_behavior,0,0.0
llava15_7b,LLaVA-1.5-7B,A1_forced_choice_red_family,in_space_conflict_aligned,136,0.9714285714285714
llava15_7b,LLaVA-1.5-7B,A1_forced_choice_red_family,out_of_space_faithful,4,0.02857142857142857
llava15_7b,LLaVA-1.5-7B,A1_forced_choice_red_family,other_behavior,0,0.0
llava15_7b,LLaVA-1.5-7B,A2_counterfactual_assumption,in_space_conflict_aligned,140,1.0
llava15_7b,LLaVA-1.5-7B,A2_counterfactual_assumption,out_of_space_faithful,0,0.0
llava15_7b,LLaVA-1.5-7B,A2_counterfactual_assumption,other_behavior,0,0.0
internvl2_8b,InternVL2-8B,A1_forced_choice_red_family,in_space_conflict_aligned,83,0.5928571428571429
internvl2_8b,InternVL2-8B,A1_forced_choice_red_family,out_of_space_faithful,57,0.40714285714285714
internvl2_8b,InternVL2-8B,A1_forced_choice_red_family,other_behavior,0,0.0
internvl2_8b,InternVL2-8B,A2_counterfactual_assumption,in_space_conflict_aligned,140,1.0
internvl2_8b,InternVL2-8B,A2_counterfactual_assumption,out_of_space_faithful,0,0.0
internvl2_8b,InternVL2-8B,A2_counterfactual_assumption,other_behavior,0,0.0
