model_key,metric_name,estimate,ci_low,ci_high
qwen2vl7b,RPE(C0_neutral),0.0,0.0,0.0
qwen2vl7b,RPE(C1_weak_suggestion),0.0,0.0,0.0
qwen2vl7b,RPE(C2_false_assertion_open),0.0,0.0,0.0
qwen2vl7b,RPE(C3_presupposition_correction_allowed),0.0,0.0,0.0
qwen2vl7b,RPE(C4_stronger_open_conflict),0.0,0.0,0.0
qwen2vl7b,LDI,0.0,0.0,0.0
llava15_7b,RPE(C0_neutral),0.0,0.0,0.0
llava15_7b,RPE(C1_weak_suggestion),0.007142857142857143,0.0,0.02142857142857143
llava15_7b,RPE(C2_false_assertion_open),0.007142857142857143,0.0,0.02142857142857143
llava15_7b,RPE(C3_presupposition_correction_allowed),0.12857142857142856,0.07857142857142857,0.18571428571428572
llava15_7b,RPE(C4_stronger_open_conflict),0.04285714285714286,0.014285714285714285,0.07857142857142857
llava15_7b,LDI,0.05595238095238094,0.03095238095238095,0.08333333333333333
internvl2_8b,RPE(C0_neutral),0.0,0.0,0.0
internvl2_8b,RPE(C1_weak_suggestion),0.0,0.0,0.0
internvl2_8b,RPE(C2_false_assertion_open),0.0,0.0,0.0
internvl2_8b,RPE(C3_presupposition_correction_allowed),0.0,0.0,0.0
internvl2_8b,RPE(C4_stronger_open_conflict),0.0,0.0,0.0
internvl2_8b,LDI,0.0,0.0,0.0
