model_key,model,condition_name,factor_id,tone_strength,injection_position,false_text_form,answer_format,response_schema,n,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_ci_low,conflict_aligned_ci_high,faithful_n,faithful_rate,faithful_ci_low,faithful_ci_high,parse_error_n,parse_error_rate
internvl2_8b,InternVL2-8B,C0_neutral,REF_C0_label_set,neutral,,none,label_set,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,REF_C3_original_label_set,presuppositional,,presupposition_correction_allowed,label_set,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,REF_C3_v2_wording,assertive,question_body,quoted_or_reported_claim,label_set,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,REF_C3_v3_wording,assertive,question_body,explicit_prompt_says,label_set,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,REF_C4_original_label_set,stronger_open_conflict,,repeated_false_report,label_set,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,F1_quoted_claim,quoted_claim_user,assertive,question_body,quoted_false_claim,constrained_short_label,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,F2_indirect_hint,indirect_hint_user,suggestive,question_body,indirect_hint,constrained_short_label,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,F3_title_prefix,title_prefix_framing,assertive,title_prefix,title_or_prefix,constrained_short_label,one_label_from_primary_space,300,108,0.36,0.30776933517318583,0.4157706967696869,192,0.64,0.584229303230313,0.6922306648268142,0,0.0
internvl2_8b,InternVL2-8B,F4_presupposition_no_correction,presupposition_no_correction,presuppositional,question_body,presupposition_without_correction_cue,constrained_short_label,one_label_from_primary_space,300,19,0.06333333333333334,0.04091688238391526,0.09679131248552163,281,0.9366666666666666,0.9032086875144784,0.9590831176160847,0,0.0
internvl2_8b,InternVL2-8B,F5_previous_turn_context,previous_turn_false_context,assertive,previous_user_turn,previous_turn_false_statement,constrained_short_label,one_label_from_primary_space,300,35,0.11666666666666667,0.08509313461466292,0.1579331433241557,265,0.8833333333333333,0.8420668566758442,0.9149068653853369,0,0.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,REF_C0_label_set,neutral,,none,label_set,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
