model_key,model_name,condition_name,category,count,rate
qwen2vl7b,Qwen2-VL-7B-Instruct,A1_forced_choice_red_family,in_space_conflict_aligned,42,0.45161290322580644
qwen2vl7b,Qwen2-VL-7B-Instruct,A1_forced_choice_red_family,out_of_space_faithful,51,0.5483870967741935
qwen2vl7b,Qwen2-VL-7B-Instruct,A1_forced_choice_red_family,other_behavior,0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,A2_counterfactual_assumption,in_space_conflict_aligned,74,0.7956989247311828
qwen2vl7b,Qwen2-VL-7B-Instruct,A2_counterfactual_assumption,out_of_space_faithful,19,0.20430107526881722
qwen2vl7b,Qwen2-VL-7B-Instruct,A2_counterfactual_assumption,other_behavior,0,0.0
llava15_7b,LLaVA-1.5-7B,A1_forced_choice_red_family,in_space_conflict_aligned,90,0.967741935483871
llava15_7b,LLaVA-1.5-7B,A1_forced_choice_red_family,out_of_space_faithful,3,0.03225806451612903
llava15_7b,LLaVA-1.5-7B,A1_forced_choice_red_family,other_behavior,0,0.0
llava15_7b,LLaVA-1.5-7B,A2_counterfactual_assumption,in_space_conflict_aligned,93,1.0
llava15_7b,LLaVA-1.5-7B,A2_counterfactual_assumption,out_of_space_faithful,0,0.0
llava15_7b,LLaVA-1.5-7B,A2_counterfactual_assumption,other_behavior,0,0.0
internvl2_8b,InternVL2-8B,A1_forced_choice_red_family,in_space_conflict_aligned,53,0.5698924731182796
internvl2_8b,InternVL2-8B,A1_forced_choice_red_family,out_of_space_faithful,40,0.43010752688172044
internvl2_8b,InternVL2-8B,A1_forced_choice_red_family,other_behavior,0,0.0
internvl2_8b,InternVL2-8B,A2_counterfactual_assumption,in_space_conflict_aligned,93,1.0
internvl2_8b,InternVL2-8B,A2_counterfactual_assumption,out_of_space_faithful,0,0.0
internvl2_8b,InternVL2-8B,A2_counterfactual_assumption,other_behavior,0,0.0
