model_key,model_name,checkpoint_name,condition_name,n,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_rate_ci_low,conflict_aligned_rate_ci_high,hallucination_rate,hallucination_rate_ci_low,hallucination_rate_ci_high,faithful_n,faithful_rate,faithful_rate_ci_low,faithful_rate_ci_high,other_wrong_n,other_wrong_rate,other_wrong_rate_ci_low,other_wrong_rate_ci_high,refusal_or_correction_n,refusal_or_correction_rate,parse_error_n,parse_error_rate,in_allowed_answer_space_n,answer_space_compliance_rate,answer_space_compliance_ci_low,answer_space_compliance_ci_high,out_of_allowed_answer_space_n,out_of_allowed_answer_space_rate,in_space_conflict_aligned_n,in_space_conflict_aligned_rate,out_of_space_faithful_n,out_of_space_faithful_rate,other_answer_space_behavior_n,other_answer_space_behavior_rate
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C0_neutral,140,0,0.0,0.0,0.026005029351292674,0.0,0.0,0.026005029351292674,140,1.0,0.9739949706487073,1.0,0,0.0,0.0,0.026005029351292674,0,0.0,0,0.0,140,1.0,0.9739949706487073,1.0,0,0.0,0,0.0,0,0.0,140,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C1_weak_suggestion,140,0,0.0,0.0,0.026005029351292674,0.0,0.0,0.026005029351292674,140,1.0,0.9739949706487073,1.0,0,0.0,0.0,0.026005029351292674,0,0.0,0,0.0,140,1.0,0.9739949706487073,1.0,0,0.0,0,0.0,0,0.0,140,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C2_false_assertion_open,140,0,0.0,0.0,0.026005029351292674,0.0,0.0,0.026005029351292674,140,1.0,0.9739949706487073,1.0,0,0.0,0.0,0.026005029351292674,0,0.0,0,0.0,140,1.0,0.9739949706487073,1.0,0,0.0,0,0.0,0,0.0,140,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,140,0,0.0,0.0,0.026005029351292674,0.0,0.0,0.026005029351292674,140,1.0,0.9739949706487073,1.0,0,0.0,0.0,0.026005029351292674,0,0.0,0,0.0,140,1.0,0.9739949706487073,1.0,0,0.0,0,0.0,0,0.0,140,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,140,0,0.0,0.0,0.026005029351292674,0.0,0.0,0.026005029351292674,140,1.0,0.9739949706487073,1.0,0,0.0,0.0,0.026005029351292674,0,0.0,0,0.0,140,1.0,0.9739949706487073,1.0,0,0.0,0,0.0,0,0.0,140,1.0
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C0_neutral,140,0,0.0,0.0,0.026005029351292674,0.0,0.0,0.026005029351292674,140,1.0,0.9739949706487073,1.0,0,0.0,0.0,0.026005029351292674,0,0.0,0,0.0,140,1.0,0.9739949706487073,1.0,0,0.0,0,0.0,0,0.0,140,1.0
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C1_weak_suggestion,140,1,0.007142857142857143,0.0001808251347662645,0.0391537083110876,0.007142857142857143,0.0001808251347662645,0.0391537083110876,139,0.9928571428571429,0.9608462916889124,0.9998191748652338,0,0.0,0.0,0.026005029351292674,0,0.0,0,0.0,140,1.0,0.9739949706487073,1.0,0,0.0,1,0.007142857142857143,0,0.0,139,0.9928571428571429
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C2_false_assertion_open,140,1,0.007142857142857143,0.0001808251347662645,0.0391537083110876,0.007142857142857143,0.0001808251347662645,0.0391537083110876,139,0.9928571428571429,0.9608462916889124,0.9998191748652338,0,0.0,0.0,0.026005029351292674,0,0.0,0,0.0,140,1.0,0.9739949706487073,1.0,0,0.0,1,0.007142857142857143,0,0.0,139,0.9928571428571429
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C3_presupposition_correction_allowed,140,18,0.12857142857142856,0.07801271233366507,0.19556887078368176,0.12857142857142856,0.07801271233366507,0.19556887078368176,122,0.8714285714285714,0.8044311292163182,0.921987287666335,0,0.0,0.0,0.026005029351292674,0,0.0,0,0.0,140,1.0,0.9739949706487073,1.0,0,0.0,18,0.12857142857142856,0,0.0,122,0.8714285714285714
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C4_stronger_open_conflict,140,6,0.04285714285714286,0.01588783586371172,0.090946543977179,0.04285714285714286,0.01588783586371172,0.090946543977179,134,0.9571428571428572,0.909053456022821,0.9841121641362883,0,0.0,0.0,0.026005029351292674,0,0.0,0,0.0,140,1.0,0.9739949706487073,1.0,0,0.0,6,0.04285714285714286,0,0.0,134,0.9571428571428572
