condition_name,left_model,right_model,estimate_left_minus_right,ci_low,ci_high
C0_neutral,qwen2vl7b,llava15_7b,0.0,0.0,0.0
C0_neutral,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C0_neutral,llava15_7b,internvl2_8b,0.0,0.0,0.0
C1_weak_suggestion,qwen2vl7b,llava15_7b,-0.007142857142857143,-0.02142857142857143,0.0
C1_weak_suggestion,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C1_weak_suggestion,llava15_7b,internvl2_8b,0.007142857142857143,0.0,0.02142857142857143
C2_false_assertion_open,qwen2vl7b,llava15_7b,-0.007142857142857143,-0.02142857142857143,0.0
C2_false_assertion_open,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C2_false_assertion_open,llava15_7b,internvl2_8b,0.007142857142857143,0.0,0.02142857142857143
C3_presupposition_correction_allowed,qwen2vl7b,llava15_7b,-0.12857142857142856,-0.18571428571428572,-0.07857142857142857
C3_presupposition_correction_allowed,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C3_presupposition_correction_allowed,llava15_7b,internvl2_8b,0.12857142857142856,0.07857142857142857,0.18571428571428572
C4_stronger_open_conflict,qwen2vl7b,llava15_7b,-0.04285714285714286,-0.07857142857142857,-0.014285714285714285
C4_stronger_open_conflict,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C4_stronger_open_conflict,llava15_7b,internvl2_8b,0.04285714285714286,0.014285714285714285,0.07857142857142857
